video_id,title,published,viewCount,likeCount,dislikeCount
PUrxttwtWXs,🎧 When You Need a Moment of Emotional Recharge #senamusicstudio #cafemusic #cozysongs,2025-05-28,80,0,0
C-Yp1JL7DkY,🎧 When You Need a Moment of Emotional Recharge #senamusicstudio #cafemusic #cozysongs,2025-05-28,185,1,0
gcloXd-DDDM,"☕힐링 카페 음악 모음, 마음이 머무는 작은 카페 | Healing Cafe Music",2025-05-27,44,0,0
IpFhqStB704,🎧 When You Need a Moment of Emotional Recharge #cafemusic #senamusicroom,2025-05-27,1285,13,0
bGZ9tJeB5ow,🎧 When You Need a Moment of Emotional Recharge #senamusicroom #cafemusic #cozysongs,2025-05-27,204,3,0
O5MXiF5thZY,Because of You - Kelly Clarkson | Heartbreaking Ballad Clip #senamusicroom #sena,2025-05-27,1473,20,0
m2akWtI_Oq4,🎧 When You Need a Moment of Emotional Recharge #senamusicroom #cafemusic #cozysongs,2025-05-26,134,1,0
9cOMWKrIt6c,"🎧 When You Need a Moment of Emotional Recharge 🎧 감성 충전이 필요한 순간, 이 음악 #cafemusic #senamusicroom",2025-05-26,61,0,0
3vbZktQUzaY,"🎧 When You Need a Moment of Emotional Recharge 🎧 감성 충전이 필요한 순간, 이 음악 #cafemusic #senamusicroom",2025-05-26,1690,8,0
xjBnkJD1Sfo,"""Jazz for Quiet Nights"" 고요한 밤, 재즈 한 잔 #senamusicroom #jazz #jazzbarvibes #재즈",2025-05-26,350,0,0
Gs92_7RaFzg,"""A Voice That Touches the Night | Original Song""  #senamusicroom #jazz #jazzbarvibes",2025-05-26,1033,15,0
RUENqmn4KJc,More Than I Can Say - Lyrics - Leo Sayer #senamusicroom #coversong #popballad,2025-05-26,26082,380,0
pEOyjIVKtQw,"🎧최고의 힐링 카페 음악 모음, 잔잔한 음악 | Café music to fill your heart 👉 cozy cafe music  #senamusicstudio",2025-05-26,486,6,0
tJojR6NmeYk,"☕마음이 머무는 작은 카페, 🌿힐링 카페 음악 모음 #05 | Healing Cafe Music 🌙 #cafemusic",2025-05-25,57,0,0
2rrMcCf-cVE,I’m Alive - Lyrics - Celine Dion Cover by Elly #senamusicroom #freemusic #popballad,2025-05-25,1607,9,0
CDDbeV79a6k,Stunning Unchained Melody - Lucy Thomas #senamusicroom #freemusic #popballad,2025-05-25,22751,335,0
Pp35ZOjcdFk,Sealed with a Kiss - Lyrics - Singer Elly Cover-03 #senamusicroom #ellycover #freemusic #sena,2025-05-24,94669,1005,0
vvOWzGbHVYs,"금요일엔 락앤롤 | 🔥""Friday Night Rock 'n' Roll"" 🎶 Vintage Rock 'n' Roll Night #02  #rocknroll",2025-05-23,444,3,0
hFy6cUrFDK0,💥 스트레스를 날려 버릴 음악이 필요할 때When You Need Music to Blow Away the Stress #senamusicroom,2025-05-23,289,1,0
Q_4zQdYpeiU,01  🎧 감성 충전이 필요한 순간 편안한 음악 Emotional Recharge · Gentle and Comforting Music #senamusicroom,2025-05-23,208,1,0
Kh4TSFLOygU,01  🎧 감성 충전이 필요한 순간 편안한 음악 Emotional Recharge · Gentle and Comforting Music #senamusicroom,2025-05-23,315,0,0
